Code	Region	Country	variable	value	region
56	Western Europe	Belgium	1867	4.18543	Western Europe
528	Western Europe	Netherlands	1867	5.36296	Western Europe
578	Western Europe	Norway	1867	5.51468	Western Europe
328	Latin America and Caribbean	Guyana	1867	0.39673	#N/A
36	Western Offshoots	Australia	1867	1.96443	Western Offshoots
144	South and South-East Asia	Sri Lanka	1867	0.2957	South and South-East Asia
694	Sub-Saharan Africa	Sierra Leone	1867	0.454192	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1867	0.821109	Sub-Saharan Africa
56	Western Europe	Belgium	1868	4.24196	Western Europe
528	Western Europe	Netherlands	1868	5.50523	Western Europe
578	Western Europe	Norway	1868	5.50744	Western Europe
328	Latin America and Caribbean	Guyana	1868	0.414721	#N/A
36	Western Offshoots	Australia	1868	1.93645	Western Offshoots
144	South and South-East Asia	Sri Lanka	1868	0.281666	South and South-East Asia
694	Sub-Saharan Africa	Sierra Leone	1868	0.433435	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1868	0.873483	Sub-Saharan Africa
56	Western Europe	Belgium	1869	4.25593	Western Europe
528	Western Europe	Netherlands	1869	5.32766	Western Europe
578	Western Europe	Norway	1869	5.49965	Western Europe
328	Latin America and Caribbean	Guyana	1869	0.424004	#N/A
36	Western Offshoots	Australia	1869	2.019	Western Offshoots
144	South and South-East Asia	Sri Lanka	1869	0.274265	South and South-East Asia
694	Sub-Saharan Africa	Sierra Leone	1869	0.480304	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1869	0.899428	Sub-Saharan Africa
40	Western Europe	Austria	1870	3.43192	Western Europe
56	Western Europe	Belgium	1870	4.22253	Western Europe
250	Western Europe	France	1870	4.29889	Western Europe
528	Western Europe	Netherlands	1870	5.34009	Western Europe
756	Western Europe	Switzerland	1870	7.30884	Western Europe
372	Western Europe	Ireland	1870	1.96542	Western Europe
578	Western Europe	Norway	1870	5.49543	Western Europe
752	Western Europe	Sweden	1870	5.28188	Western Europe
826	Western Europe	United Kingdom	1870	1.21093	Western Europe
380	Western Europe	Italy	1870	1.62556	Western Europe
620	Western Europe	Portugal	1870	0.459167	Western Europe
724	Western Europe	Spain	1870	3.41844	Western Europe
388	Latin America and Caribbean	Jamaica	1870	1.46383	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1870	1.68426	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1870	0.438337	#N/A
36	Western Offshoots	Australia	1870	2.07624	Western Offshoots
586	South and South-East Asia	Pakistan	1870	0.434915	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1870	0.261803	South and South-East Asia
458	South and South-East Asia	Malaysia	1870	0.206717	South and South-East Asia
104	South and South-East Asia	Myanmar	1870	0.0144608	South and South-East Asia
702	South and South-East Asia	Singapore	1870	0.386171	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1870	0.0326382	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1870	0.504828	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1870	0.882051	Sub-Saharan Africa
40	Western Europe	Austria	1871	3.41765	Western Europe
56	Western Europe	Belgium	1871	4.26299	Western Europe
250	Western Europe	France	1871	4.34926	Western Europe
528	Western Europe	Netherlands	1871	5.29665	Western Europe
756	Western Europe	Switzerland	1871	7.34628	Western Europe
372	Western Europe	Ireland	1871	1.99985	Western Europe
578	Western Europe	Norway	1871	5.4975	Western Europe
752	Western Europe	Sweden	1871	5.34666	Western Europe
826	Western Europe	United Kingdom	1871	1.27562	Western Europe
380	Western Europe	Italy	1871	1.67969	Western Europe
620	Western Europe	Portugal	1871	0.442745	Western Europe
724	Western Europe	Spain	1871	3.45973	Western Europe
388	Latin America and Caribbean	Jamaica	1871	1.27037	Latin America and Caribean
780	Latin America and Caribbean	Trinidad and Tobago	1871	1.63974	Latin America and Caribean
328	Latin America and Caribbean	Guyana	1871	0.470164	#N/A
36	Western Offshoots	Australia	1871	2.15342	Western Offshoots
586	South and South-East Asia	Pakistan	1871	0.447795	South and South-East Asia
144	South and South-East Asia	Sri Lanka	1871	0.288082	South and South-East Asia
458	South and South-East Asia	Malaysia	1871	0.208475	South and South-East Asia
104	South and South-East Asia	Myanmar	1871	0.0136909	South and South-East Asia
702	South and South-East Asia	Singapore	1871	0.398351	South and South-East Asia
288	Sub-Saharan Africa	Ghana	1871	0.0335839	Sub-Saharan Africa
694	Sub-Saharan Africa	Sierra Leone	1871	0.484038	Sub-Saharan Africa
480	Sub-Saharan Africa	Mauritius	1871	0.844431	Sub-Saharan Africa
